length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time,label
19,0,4,5,12,0,0,3.576617645,0.0,1,0,0,0,1
14,0,4,5,8,0,0,3.378783493486176,0.0,0,0,0,0,1
11,0,2,2,8,0,0,3.277613436819116,0.0,0,0,0,0,1
11,2,1,1,9,0,0,3.277613436819116,1.0,1,0,0,2557,0
13,0,3,5,7,0,0,3.0850551027564768,0.0,0,0,0,0,1
6,0,3,3,3,0,0,2.584962500721156,0.0,0,0,0,0,1
16,0,4,7,8,0,0,3.452819531114783,0.0,0,0,0,0,1
7,2,0,0,6,0,0,2.235926350629033,1.0,1,0,720,365,0
28,0,5,12,15,0,0,3.655045546825804,0.0,0,0,0,0,1
21,0,4,6,13,0,0,3.463280517810811,0.0,0,0,143,4748,1
9,0,3,4,4,0,0,2.947702779,0.0,1,0,0,0,1
19,2,5,5,13,0,0,4.037401197654112,1.0,1,0,5,730,0
10,8,4,4,4,0,0,3.121928094887362,0.5773072386849478,1,2,2273,9862,0
19,2,5,9,9,0,0,3.616348566,1.0,1,5,0,7305,0
8,4,1,1,6,0,0,2.4056390622295662,0.9473684210526316,1,4,2356,10226,0
26,0,3,7,16,0,1,3.8542858719872464,0.0,0,0,0,4018,1
12,2,3,4,7,0,0,2.918295834,1.0,1,5,1253,2922,0
17,2,4,6,10,0,0,3.572469459,1.0,1,1,247,6575,1
22,0,4,9,12,0,0,3.572623663895164,0.0,0,0,0,0,1
30,0,4,6,13,7,2,4.215061012,0.0,1,0,0,3652,1
12,0,3,3,7,0,0,3.022055209,0.0,0,0,0,2192,1
13,0,2,3,9,0,0,3.238901256602631,0.0,0,0,0,0,1
20,0,3,8,11,0,0,3.341446071165522,0.0,0,0,27,0,1
8,4,2,2,4,1,0,3.0,0.8635897435897436,1,1,0,8034,0
21,8,4,8,12,0,0,3.630412661,0.828571429,1,1,308,8400,0
10,4,2,2,7,0,0,3.121928094887362,0.6666506171056222,1,5,427,8036,0
10,4,2,3,5,0,0,2.721928094887362,0.9565217391304348,1,2,0,0,0
21,2,4,7,11,0,0,3.617809684,1.0,1,1,35,0,1
10,0,3,3,6,0,0,3.321928095,0.0,1,0,0,0,1
17,2,3,4,12,0,0,3.4548223999466057,1.0,1,0,379,365,0
22,0,3,6,14,0,0,3.3342094594480485,0.0,1,0,289,9131,1
10,2,2,4,5,0,0,2.646439344671016,1.0,1,1,1669,0,0
9,0,2,2,6,0,0,2.947702779,0.0,1,0,0,0,1
17,0,4,6,9,0,0,3.4992275471326924,0.0,0,0,0,0,1
12,1,4,4,6,0,1,3.584962500721156,0.0,0,1,0,0,0
23,3,4,8,13,0,1,3.8820451081368623,0.9473684210526316,1,5,1406,4018,0
8,2,1,1,6,0,0,3.0,1.0,1,3,1355,0,0
18,5,2,4,12,0,0,3.530493056757482,0.967741935483871,1,0,2146,1827,0
22,0,3,5,10,5,0,3.970573095811685,0.0,0,0,0,7670,1
16,2,3,5,10,0,0,3.4056390622295662,1.0,1,1,3,4018,1
18,0,3,7,10,0,0,3.4613201402110083,0.0,0,0,0,0,1
14,0,3,8,5,0,0,2.692380602454975,0.0,0,0,27,0,1
19,0,4,6,8,2,1,3.5110854081804272,0.0,0,0,0,6209,1
26,0,5,8,16,0,0,3.767183467891461,0.0,0,0,27,0,1
22,0,3,8,10,3,0,3.5337712560645573,0.0,0,0,0,0,1
16,2,2,4,11,0,0,3.452819531,1.0,1,0,464,5113,0
19,0,3,8,8,1,0,3.32110433057849,0.0,0,0,20,8765,1
18,3,3,7,10,0,0,3.572431251,0.901960784,1,1,268,3653,1
17,0,2,4,12,0,0,3.337175341,0.0,1,0,0,0,1
20,8,4,8,11,0,0,3.546439345,0.866666667,1,1,0,8401,0
24,0,2,4,10,7,1,4.053508854797679,0.0,0,0,27,9497,1
14,2,3,3,10,0,0,3.4677201004745,1.0,1,0,276,4748,1
16,0,1,2,11,1,0,3.327819531114783,0.0,1,0,177,7670,1
16,0,3,4,11,0,0,3.327819531114783,0.0,0,0,27,0,1
28,0,5,9,17,0,0,3.9677201004745,0.0,0,0,27,4383,1
12,3,2,2,8,0,0,3.2516291673878226,0.8835656213704994,1,3,310,4747,0
47,0,4,12,15,10,6,4.165563053483078,0.0,1,0,1499,7821,1
9,6,4,4,4,0,0,3.169925001442312,0.8601612903225805,0,0,0,2192,0
9,0,2,2,6,0,0,2.947702779,0.0,1,0,0,0,1
11,4,2,2,8,0,0,3.277613436819116,0.6665141958367439,1,2,131,5479,0
12,2,3,4,6,0,0,3.084962500721156,1.0,1,1,437,5844,1
13,0,2,4,8,0,0,2.7192945256669794,0.0,0,0,0,0,1
18,0,3,7,10,0,0,3.197159723424149,0.0,0,0,0,0,1
17,0,4,5,7,4,0,3.3371753411230767,0.0,0,0,0,0,1
9,4,3,4,4,0,0,2.947702779,0.865079365,1,1,2274,9350,0
12,2,3,4,7,0,0,3.084962500721156,1.0,1,2,504,0,0
12,4,2,3,8,0,0,3.251629167,0.831303064,1,1,281,2922,0
12,2,2,3,8,0,0,3.2516291673878226,1.0,1,5,0,9862,1
12,4,4,4,5,2,0,3.418295834,0.689822181,1,1,5206,0,0
9,2,2,3,5,0,0,2.947702779,1.0,1,1,976,5844,0
27,0,4,10,15,0,0,3.633974075997157,0.0,0,0,0,0,1
13,2,2,5,7,0,0,2.6235166412180155,1.0,1,1,2286,0,0
12,2,3,4,7,0,0,3.418295834,1.0,1,1,2223,9862,0
14,0,2,3,5,4,1,3.521640636,0.0,1,0,0,0,1
17,2,4,6,10,0,0,3.4548223999466057,1.0,1,0,538,0,1
8,3,2,4,3,0,0,2.5,0.9333333333333332,1,10,456,10212,0
20,0,2,5,12,0,0,3.4464393446710155,0.0,1,0,0,0,0
